token,count
的,6109366
了,2441965
我,2016325
他,1819245
是,1443301
在,1381449
你,1016865
她,966753
说,831762
也,724793
着,680272
就,642692
这,637319
不,617801
人,609281
有,544593
和,535576
都,472801
一个,445920
上,433731
地,428813
那,404238
把,400086
我们,389985
去,385651
又,385563
他们,367514
到,349883
没有,348434
来,340830
要,318106
得,311786
里,303043
自己,298165
对,296518
什么,293440
还,280507
一,259539
会,235268
道,230241
而,221681
中,217824
过,216913
从,214314
很,208419
给,202585
但,201333
知道,201188
想,201056
好,193731
这个,188554
呢,173944
这样,169697
被,167941
让,164429
走,162317
看,161979
不是,161490
它,160674
就是,155077
个,153442
吗,153138
却,152692
吧,152304
能,148739
大,148362
已经,148068
像,147699
可以,147038
用,145847
时,143628
与,143608
现在,142271
因为,137172
为,134644
起来,133016
之,131368
时候,130831
做,129435
事,129321
您,124061
再,119217
向,115387
才,114128
叫,112398
便,111871
多,111741
将,111354
只,110540
跟,107236
一样,106527
没,106373
使,105609
可是,104551
还是,104079
下,103928
你们,102607
并,101990
听,101290
这些,99113
已,98685
这种,97598
小,97148
可,96671
们,96634
不能,94308
但是,94252
觉得,93965
先生,93533
那个,92979
啊,91472
谁,91136
那么,90084
问,88896
怎么,87459
当,86925
后,86868
出来,86438
吃,85960
笑,85798
更,85313
东西,83374
如果,83210
一种,81927
不过,81206
还有,78989
等,76995
不会,75693
那些,75657
这里,74600
地方,74340
出,74191
的话,73236
孩子,73200
站,72002
这么,71758
两个,71208
最,70524
比,69954
见,69687
一点,68881
以,68110
看到,67464
只是,66982
死,66826
女人,66736
开始,66096
看见,65810
所,65116
眼睛,65033
一切,63788
所以,63666
而且,62883
找,62585
话,62067
然后,61636
一下,61631
可能,61458
太,61197
老,61085
告诉,60905
写,60604
倒,60514
事情,60507
一些,59613
拿,59315
感到,58727
声音,58424
生活,58294
只有,58231
呀,57314
带,57237
一定,56598
请,56288
过去,56034
父亲,55783
手,55424
那里,55289
打,54619
起,54311
说道,53756
为了,53716
前,53475
一起,53369
或,52848
为什么,52368
爱,52252
突然,52008
大家,51617
虽然,51269
母亲,51244
心里,50219
人们,50142
一直,50133
一次,50091
问题,49378
最后,48826
朋友,48707
不要,48704
那样,48336
当然,47964
钱,47792
啦,47611
回来,47290
有些,47162
些,47002
之后,46830
住,46817
连,46555
于是,46107
真,46031
也许,45988
脸,45963
于,45854
坐在,45820
喜欢,45712
跑,44942
以后,44594
似乎,44530
应该,43989
两,43976
正,43494
她们,43413
明白,43246
说话,43218
回答,43116
有人,43040
身上,42942
认为,42874
今天,42795
头,42544
一声,42233
它们,42027
同,41954
所有,41592
好像,41507
发现,41476
完全,41476
长,41393
许多,41173
非常,41104
别人,41027
时间,40872
希望,40819
一只,40278
由,40266
看着,40100
似的,39784
家,39778
新,39686
讲,39643
往,39273
一边,39227
太太,38889
几个,38663
世界,38572
下来,38481
这时,38230
如此,37694
听到,37674
后来,37668
坐,37522
工作,37392
成,37135
一条,37000
先,36886
离开,36544
一天,36524
如,36474
不知,36438
正在,36155
男人,35976
点,35841
脸上,35665
只要,35632
该,35320
干,35210
这儿,35058
甚至,34924
快,34780
因此,34768
要是,34661
总是,34645
或者,34516
相信,33957
以为,33950
开,33664
另,33647
任何,33638
人家,33563
一位,33261
真的,33177
喝,32867
想到,32793
感觉,32738
姑娘,32716
穿,32504
高,32445
别,32428
中国,32364
咱们,32361
一句,32352
然而,32352
望,32204
家里,31970
看看,31890
接着,31836
十分,31813
需要,31807
样子,31794
得到,31712
对于,31640
几乎,31594
真是,31416
心,31413
那种,31340
曾,31299
发生,31275
年,31139
三,30976
儿子,30924
那儿,30706
当时,30681
有点,30521
多少,30509
夫人,30493
过来,30385
必须,30384
哪,30185
一件,30007
回到,29983
则,29805
仿佛,29798
作,29746
字,29510
月,28787
情况,28767
自然,28683
之间,28643
全,28628
其,28478
象,28430
出现,28424
一般,28236
下去,28142
一张,28125
愿意,28112
总,28066
拉,28029
房间,27943
出去,27940
若,27710
忽然,27625
以前,27611
晚上,27602
面前,27523
怎样,27492
准备,27444
高兴,27374
小姐,27264
能够,27225
意思,27148
终于,27128
狗,26756
其实,26703
一片,26572
同时,26530
由于,26434
瞧,26327
原来,26249
听见,26205
哪里,26147
买,26137
这位,26085
里面,26044
不敢,26017
每,25943
么,25922
继续,25885
门,25857
一会儿,25672
别的,25586
无法,25569
无,25557
进,25514
名字,25461
不到,25369
是不是,25357
其他,25336
天,25182
一阵,25073
如何,25056
身体,24998
哭,24916
永远,24862
怕,24697
而是,24627
子,24594
想起,24583
声,24516
来到,24475
难道,24444
马上,24444
衣服,24361
既,24261
多么,24198
书,24175
送,24144
女儿,24142
心中,23981
刚才,23942
竟,23900
一块,23764
儿,23728
妈妈,23675
放在,23674
年轻,23594
不想,23551
痛苦,23551
睡,23549
受,23480
找到,23476
丈夫,23408
马,23393
实在,23367
除了,23341
回,23320
立刻,23309
还要,23227
一面,23202
特别,23191
变成,23124
一眼,23101
变得,22842
关系,22841
张,22762
者,22758
放,22745
不再,22693
正是,22661
朝,22610
本来,22544
地上,22512
妻子,22486
信,22384
来说,22335
水,22300
认识,22109
躺,22071
之中,22001
成为,21996
德,21963
房子,21947
跳,21931
像是,21867
清楚,21859
以及,21806
注意,21801
决定,21732
上面,21696
见到,21662
问道,21584
就要,21579
后面,21532
三个,21488
尽管,21429
完,21312
并且,21285
弄,21246
仍,21194
这件,21190
不同,21160
有时,21116
故事,21095
边,21060
身子,20962
看来,20886
之前,20885
本,20849
手里,20694
办法,20693
刚,20660
黑,20649
谈,20579
发出,20570
根本,20486
整个,20424
花,20351
二,20261
微笑,20193
跟着,20163
简直,20117
女,20079
大概,20054
头发,19998
目光,19973
只能,19934
身边,19908
上帝,19773
肯定,19744
真正,19734
回家,19669
显得,19553
记得,19483
不管,19470
了解,19391
杀,19383
即使,19361
其中,19266
路,19209
间,19168
生,19154
因,19076
可怜,19057
经过,19052
替,19014
走进,18921
作为,18824
结果,18823
仍然,18770
不可,18767
到底,18746
旁边,18733
思想,18687
不错,18668
进行,18661
白,18654
此,18645
越,18632
哪儿,18615
慢慢,18581
