zh	en
0-1损失函数	0-1 Loss Function
绝对损失函数	Absolute Loss Function
绝对值整流	Absolute Value Rectification
接受-拒绝抽样法/接受-拒绝采样法	Accept-Reject Sampling Method
接受分布	Acceptance Distribution
访问参数	Access Parameters
累积误差反向传播	Accumulated Error Backpropagation
准确率	Accuracy
声学	Acoustic
声学建模	Acoustic Modeling
采集函数	Acquisition Function
动作	Action
动作价值函数	Action Value Function
行为主义	Actionism
活性值	Activation
激活函数	Activation Function
主动学习	Active Learning
演员	Actor
演员-评论员算法	Actor-Critic Algorithm
演员-评论员法	Actor-Critic Method
自适应比特率算法	Adaptive Bitrate Algorithm
Adam算法	Adaptive Moment Estimation Algorithm
自适应谐振理论	Adaptive Resonance Theory
加性模型	Additive Model
对抗	Adversarial
对抗样本	Adversarial Example
对抗网络	Adversarial Networks
对抗训练	Adversarial Training
仿射层	Affine Layer
仿射变换	Affine Transformation
亲和矩阵	Affinity Matrix
智能体	Agent
聚合	Agglomerative
不可知PAC可学习	Agnostic PAC Learnable
算法	Algorithm
几乎处处	Almost Everywhere
几乎必然	Almost Sure
几乎必然收敛	Almost Sure Convergence
α-β修剪法	Alpha-Beta Pruning
选择性剪接数据集	Alternative Splicing Dataset
分歧	Ambiguity
解析梯度	Analytic Gradient
原始采样	Ancestral Sampling
退火重要采样	Annealed Importance Sampling
异常检测	Anomaly Detection
非周期的	Aperiodic
非周期性图	Aperiodic Graph
专用集成电路	Application-Specific Integrated Circuit
近似贝叶斯计算	Approximate Bayesian Computation
近似动态规划	Approximate Dynamic Programming
近似推断	Approximate Inference
近似	Approximation
近似误差	Approximation Error
架构	Architecture
AUC（ROC曲线下方面积，度量分类模型好坏的标准）	Area Under ROC Curve
算术编码	Arithmetic Coding
通用人工智能	Artificial General Intelligence
人工智能	Artificial Intelligence
人工神经网络	Artificial Neural Network
人工神经元	Artificial Neuron
关联分析	Association Analysis
联想记忆	Associative Memory
联想记忆模型	Associative Memory Model
渐近无偏	Asymptotically Unbiased
异步随机梯度下降	Asynchronous Stochastic Gradient Descent
异步	Asynchronous
空洞卷积	Atrous Convolution
注意力	Attention
注意力提示	Attention Cue
注意力分布	Attention Distribution
注意力机制	Attention Mechanism
注意力模型	Attention Model
吸引点	Attractor
属性	Attribute
属性条件独立性假设	Attribute Conditional Independence Assumption
属性空间	Attribute Space
属性值	Attribute Value
增广拉格朗日法	Augmented Lagrangian
自回归网络	Auto-Regressive Network
自编码器	Autoencoder
自动微分	Automatic Differentiation
自动语音识别	Automatic Speech Recognition
自动摘要	Automatic Summarization
自回归生成模型	Autoregressive Generative Model
自回归模型	Autoregressive Model
自回归过程	Autoregressive Process
平均梯度	Average Gradient
平均汇聚层	Average Pooling Layer
平均汇聚	Average-Pooling
平均感知器	Averaged Perceptron
反向传播	Back Propagation
反向传播算法	Back Propagation Algorithm
随时间反向传播	Back Propagation Through Time
回退	Back-Off
后向	Backward
反向归纳	Backward Induction
反向搜索	Backward Search
词袋	Bag of Words
袋装	Bagging
赌博机/老虎机	Bandit
带通滤波器	Bandpass Filter
基	Base
基分类器	Base Classifier
基学习器	Base Learner
基学习算法	Base Learning Algorithm
基向量	Base Vector
基准	Baseline
吸引域	Basin of Attraction
批量	Batch
批量梯度下降法	Batch Gradient Descent
批量学习	Batch Learning
批量规范化	Batch Normalization
批量大小	Batch Size
Baum-Welch算法	Baum-Welch Algorithm
贝叶斯分类器	Bayes Classifier
贝叶斯决策准则	Bayes Decision Rule
贝叶斯误差	Bayes Error
贝叶斯模型平均	Bayes Model Averaging
贝叶斯最优分类器	Bayes Optimal Classifier
贝叶斯风险	Bayes Risk
贝叶斯规则	Bayes' Rule
贝叶斯定理	Bayes' Theorem
贝叶斯决策理论	Bayesian Decision Theory
贝叶斯估计	Bayesian Estimation
贝叶斯推断	Bayesian Inference
贝叶斯学习	Bayesian Learning
贝叶斯线性回归	Bayesian Linear Regression
贝叶斯网/贝叶斯网络	Bayesian Network
贝叶斯优化	Bayesian Optimization
贝叶斯概率	Bayesian Probability
贝叶斯统计	Bayesian Statistics
束搜索	Beam Search
基准	Benchmark
信念网/信念网络	Belief Network
信念传播	Belief Propagation
贝尔曼方程	Bellman Equation
