token,count
的,6401079
一,3092365
了,2685828
是,2599945
我,2457046
不,2438087
他,2242105
在,1784682
人,1654378
这,1615067
有,1494916
来,1297246
个,1228289
说,1213603
上,1160706
你,1135500
们,1134825
着,1052730
到,1028182
她,1013308
那,979056
子,965811
就,878687
地,846717
里,844674
也,812858
大,807940
得,762097
么,737759
道,729642
去,710115
时,690465
要,666635
下,665921
出,650774
过,639495
为,630313
和,606194
可,598453
看,584714
没,565392
好,537844
会,533290
自,532838
以,521167
中,513487
还,506193
都,504052
小,501140
生,498694
起,494074
然,492690
后,484445
想,482612
样,479492
天,476426
对,474379
家,463187
把,448221
心,445477
而,437301
能,437295
事,429181
只,424822
头,409829
之,401773
又,390607
什,384326
儿,377492
面,376466
多,369170
手,359364
些,348904
开,340310
见,336221
从,335324
老,332064
话,330053
知,325849
于,322569
走,322194
但,320787
当,320485
无,316954
前,316903
如,315333
回,312964
声,312272
己,309129
意,306005
身,305429
年,303589
已,303412
发,302083
点,296126
很,295627
情,291867
种,291734
所,291285
现,286125
两,282835
用,280277
经,272663
给,270614
女,261807
眼,251456
长,251352
成,249316
斯,248014
作,245277
同,244995
太,244362
十,243386
方,242564
听,242190
像,239943
因,238054
动,236704
正,233756
间,229491
气,227748
打,227192
笑,224480
问,222296
明,221836
尔,219168
三,216983
几,216676
真,216196
西,213406
此,212578
再,211392
法,211266
进,210671
国,210184
行,208820
向,208303
边,207623
它,207004
门,203557
先,202763
白,202693
学,193878
口,193447
定,193406
住,193359
本,193352
感,193239
高,192334
亲,191645
实,191290
让,190284
最,190179
觉,189866
马,189058
被,188301
分,187541
做,187323
外,185997
才,184317
别,183269
却,178792
使,176210
夫,176033
呢,175925
便,175522
光,175418
二,172250
叫,171931
其,171363
特,171144
候,170651
怎,170505
相,168915
死,168425
全,167836
爱,166973
日,166383
主,165068
拉,163638
克,162509
色,161979
与,160259
吧,160175
德,160172
常,159971
吗,159970
次,159953
将,158897
者,158704
水,158370
信,156909
神,156780
比,156747
力,156663
文,155682
活,153702
望,152725
安,152537
车,151205
位,150770
并,150417
理,149170
少,148775
跟,148678
果,147741
直,146172
花,145158
等,144919
吃,142382
四,141989
脸,141055
处,140870
东,140340
放,139791
公,139079
名,137897
重,137823
快,137303
许,136517
更,135975
路,134277
第,133014
难,131940
带,131715
何,131476
山,131274
房,130597
利,130363
您,129322
张,128303
干,127415
教,126867
受,126259
接,124720
坐,122510
孩,122412
关,122408
轻,121530
书,121230
清,119404
新,119365
思,119290
或,118605
由,118481
似,117433
认,116769
往,116365
完,116074
美,115407
满,115380
应,115337
世,113676
风,113304
命,112299
王,112006
总,111902
平,110919
表,110750
条,110689
变,110521
非,109914
部,109258
写,109087
告,108639
体,108238
远,107471
找,107372
工,106914
倒,106351
五,106148
原,105918
物,105789
加,105436
黑,105019
今,104747
象,104650
父,104328
字,104296
连,104080
解,103765
切,103258
月,103191
至,103033
音,102836
罗,102636
站,102181
该,101713
乎,100778
红,100585
金,100254
钱,99493
师,99479
且,99341
早,98923
谁,98621
记,98485
场,98149
哪,97772
士,97271
件,97231
结,96956
怕,96768
海,96679
性,96406
指,96029
母,95736
立,95386
衣,94908
管,94549
任,94323
啊,94100
提,93745
火,93706
拿,93248
半,93179
空,93139
必,92845
每,92160
阿,91686
反,91592
机,91064
晚,90768
离,90482
转,90439
目,90241
喜,89895
布,89120
内,89026
服,87965
男,87702
格,87192
步,86479
答,86170
巴,85742
言,85378
代,85242
算,85172
始,85072
请,84894
论,84618
奇,84419
谈,84409
入,84258
深,84180
民,84165
妈,84070
通,83899
欢,82743
刚,82037
