token,count
的,55668083
国,19329678
一,17952515
人,14779790
中,14625045
在,14569386
和,13627345
了,13218200
是,12117028
大,11617738
有,10522360
不,10081667
会,10058665
年,9078484
民,8515536
为,8472529
发,8210230
作,7958082
工,7882909
地,7732322
要,7225378
上,7221225
这,7183084
业,7170371
主,7096591
生,6952401
个,6864080
行,6565567
们,6321852
出,6309490
新,6197337
到,6176347
我,6117719
全,6080829
来,6077183
以,6071154
家,5996580
对,5959362
进,5903071
产,5892825
成,5800126
动,5710337
部,5698380
日,5640088
学,5625220
经,5543432
展,5385614
政,5296051
时,5201722
多,5109274
社,4935590
他,4916452
建,4894516
同,4870700
方,4863135
实,4831066
力,4632280
化,4452393
加,4435213
开,4324615
能,4244678
理,4235342
长,4218939
合,4218652
员,4193382
十,4183357
现,4138111
重,4137339
高,4100480
法,4092175
本,4042011
就,4024675
于,3994927
用,3988024
市,3917944
关,3892342
自,3850813
党,3847631
分,3828254
公,3812398
区,3755398
等,3716011
月,3691000
文,3600278
过,3572660
说,3567787
面,3567687
者,3553077
下,3551653
体,3520485
前,3458326
定,3436393
制,3424204
机,3406387
事,3398721
农,3391319
平,3363295
务,3332372
义,3331348
好,3322684
表,3307189
后,3302655
设,3220678
共,3219072
代,3213605
利,3205976
得,3196104
也,3191822
各,3168876
提,3133067
美,3113550
三,3093749
与,3080041
报,3031746
天,2876267
心,2874165
强,2849945
之,2832994
问,2831556
保,2827688
资,2823086
度,2793328
电,2779167
种,2759608
可,2711180
委,2709719
总,2692488
二,2662441
当,2652720
里,2650320
着,2632045
军,2628219
济,2625095
战,2610238
领,2605964
从,2602562
立,2581719
而,2580393
正,2579644
记,2573013
水,2564047
场,2562637
子,2553577
外,2550250
革,2547783
都,2536301
题,2529356
将,2519408
起,2515204
通,2490296
小,2483612
两,2471524
联,2470146
队,2467744
万,2454750
还,2435003
议,2433621
明,2426708
华,2422693
基,2422201
治,2406573
入,2400406
北,2394460
内,2392689
量,2379000
持,2371237
导,2370164
改,2363372
科,2356729
次,2354940
系,2351405
解,2338624
所,2329815
第,2325642
组,2321962
活,2320189
西,2313302
教,2305800
决,2271086
道,2246024
目,2227289
南,2225446
最,2224887
向,2214067
安,2208751
任,2200625
应,2174276
今,2171500
其,2163269
意,2162756
品,2153977
些,2151389
点,2148154
增,2129621
性,2120859
团,2113745
去,2111108
统,2110571
更,2103659
情,2092629
间,2090195
使,2089457
已,2084255
结,2081809
村,2078348
技,2077882
众,2075933
特,2066929
路,2055962
运,2052078
海,2045466
级,2042405
干,2020639
四,2015547
把,2014460
术,2008672
世,1993834
并,1991979
五,1951835
命,1938939
及,1938932
比,1938523
位,1924189
企,1905912
界,1904772
想,1894596
东,1886015
争,1885337
群,1880698
期,1875448
交,1868344
金,1866462
推,1862586
管,1849411
如,1846262
省,1836306
近,1828382
放,1827491
名,1827233
计,1821832
创,1803149
反,1800860
府,1797793
由,1795279
程,1776920
信,1773757
际,1762928
造,1758488
广,1758191
相,1757441
门,1754136
山,1747397
调,1745634
京,1744605
百,1737450
深,1736587
规,1733851
元,1729464
书,1728840
无,1721421
办,1721213
育,1718466
院,1710156
取,1700573
物,1696703
论,1676430
思,1674566
斯,1667330
席,1658143
步,1635675
指,1635566
达,1632019
支,1629055
求,1620137
亚,1618176
据,1616694
项,1616638
收,1614396
然,1607723
局,1601407
志,1562350
集,1556268
认,1543293
老,1540944
但,1536570
样,1527471
看,1523265
服,1519999
车,1516146
先,1514222
因,1511250
研,1506808
此,1498911
城,1497897
原,1493751
式,1492921
县,1490476
坚,1490335
示,1487814
数,1487626
举,1473655
手,1467799
习,1466381
处,1453822
织,1450913
少,1447812
件,1445576
条,1443987
参,1429122
常,1420334
果,1419483
受,1414523
没,1395751
克,1385527
斗,1383369
质,1381458
施,1367513
台,1366780
接,1362186
完,1354633
口,1352253
专,1351247
协,1350088
拉,1345754
风,1345174
商,1342510
传,1341836
权,1334673
很,1328665
越,1317855
流,1316555
马,1314630
司,1313739
尔,1313115
打,1310475
线,1298475
给,1297924
做,1296917
见,1293163
变,1293016
观,1287075
只,1281163
精,1278633
被,1269828
积,1258855
形,1257435
族,1256485
又,1248623
难,1239515
极,1222868
德,1217034
护,1216209
续,1210726
责,1210381
标,1208296
九,1205320
首,1203062
苏,1202991
别,1201601
林,1199635
非,1198309
江,1192123
央,1179056
头,1175419
每,1169369
划,1158955
布,1152496
效,1148053
需,1145840
至,1138586
那,1138000
策,1132848
查,1132148
节,1125907
确,1124770
带,1121572
巴,1120872
批,1116274
整,1112542
助,1112155
源,1110962
六,1110700
才,1110697
回,1110431
色,1110321
历,1107534
必,1101212
投,1097667
厂,1093237
格,1090414
张,1087396
究,1083215
职,1079672
费,1078552
己,1078098
八,1074665
单,1074629
准,1072065
供,1071982
史,1071068
真,1070808
阶,1069111
气,1065594
青,1063351
营,1057020
走,1056095
感,1055520
根,1053672
副,1053648
话,1048554
七,1046013
选,1045174
几,1042866
医,1042557
切,1037462
友,1037088
识,1036822
神,1034989
环,1034975
约,1032411
势,1030652
备,1028613
优,1027458
益,1025905
千,1017412
价,1016056
赛,1012333
快,1010784
验,1007605
具,1006094
视,998380
防,988037
身,985550
断,981171
构,974230
知,972111
严,971332
转,969120
么,967095
影,966644
毛,965405
证,964587
它,955822
复,955475
土,953920
乡,952824
劳,952344
境,944746
河,943173
消,939933
案,937053
王,931297
谈,928620
列,922076
引,921143
让,920236
校,913155
李,908790
网,901369
采,897498
清,895663
光,890110
况,889378
女,888338
热,887217
态,884826
周,881470
英,878715
球,878368
图,876714
落,870555
纪,861164
型,858435
州,856642
该,854781
许,853506
艺,851278
阿,847653
亿,846991
告,845924
维,843680
再,835632
直,830532
边,827896
士,827320
武,826382
洲,821450
修,818237
或,816599
访,814616
略,814562
师,809502
则,807657
始,806659
何,805932
空,805190
游,801736
装,801470
兴,800729
象,799250
评,797025
互,796061
易,795978
养,794660
范,794165
域,793091
望,788852
善,781196
负,775781
户,775605
类,774407
包,773126
息,771142
连,767386
宣,766635
讲,762723
爱,760300
富,757187
律,756460
尼,755537
监,751154
声,744570
致,741980
层,739888
继,738669
仅,735736
花,733375
促,733122
考,731842
卫,729920
片,729708
率,729531
速,725003
获,724601
双,724096
击,716780
往,715423
料,714567
模,710835
胜,708696
满,707556
古,706331
检,700750
紧,699408
响,699150
住,698476
升,696892
红,696774
困,695012
照,692973
米,691121
铁,688836
依,688650
远,686809
功,685132
演,685081
食,682671
须,682418
破,681958
石,676799
病,675825
罗,675431
较,672905
础,672077
未,671078
执,669936
印,668787
春,666607
言,666483
亲,665744
号,665106
站,664961
贸,664179
核,663214
足,659927
注,659473
值,659300
超,657948
排,657199
充,657170
段,654769
培,653609
什,652276
朝,652076
夫,651163
儿,651158
贫,650640
字,646651
念,645678
她,638034
伟,635623
容,634662
你,634494
显,631464
镇,629240
帮,629170
融,628292
存,627498
承,627365
且,624428
讯,622956
届,622193
房,620929
客,620907
突,620865
挥,620796
派,620624
愿,619809
低,619536
普,616601
稳,616365
即,609602
田,609585
察,605994
器,605991
失,603444
健,602005
火,601804
居,601034
班,600712
财,599472
险,597402
除,597129
底,593505
鲜,590651
便,589396
努,588558
余,584886
油,582647
港,579311
乐,573951
烈,572812
占,570639
试,570009
希,569942
预,569722
配,568947
欧,564634
兰,563305
阳,561132
抓,560963
围,559330
按,558355
白,557676
兵,557507
粮,555775
待,551291
限,550562
担,549724
福,546956
抗,545646
候,544673
宁,542407
官,539354
半,537223
随,535738
曾,534836
离,533533
减,533497
均,532791
太,529480
措,529304
障,528658
帝,528579
黄,526531
旅,526337
刘,522277
款,520650
欢,519675
献,519540
算,518967
终,518767
写,518400
飞,518075
良,517498
销,516859
康,513832
剧,510037
扩,510008
初,509062
密,508587
例,503919
审,502473
馆,501122
景,500797
请,500018
训,498694
庆,495202
园,494478
控,493288
灾,492840
降,488104
荣,485946
奥,485278
独,485100
害,483448
送,483097
警,482244
药,481654
侵,481595
树,479137
介,477580
陈,476325
称,475923
止,475842
银,475392
判,474640
迎,473060
尽,471884
救,468222
听,466866
章,466030
彻,465449
却,462001
湖,461167
召,460225
泽,458502
材,458435
驻,457695
读,456258
座,454997
税,454996
早,453577
够,453568
丰,453463
素,452817
份,452429
纳,449314
伊,448831
盟,448103
草,447842
压,444027
版,443954
适,441432
威,441256
讨,439675
留,439149
闻,437985
航,435805
沙,434516
置,432828
践,430818
贯,430306
觉,428926
购,428725
货,428176
督,428045
针,427983
临,424915
额,423666
香,423603
补,423575
刻,422837
播,422004
令,421702
藏,421139
属,420669
博,420429
苦,418562
援,417034
龙,416065
奋,415639
眼,415566
矿,414605
智,412501
激,411414
波,410771
云,409418
晚,407322
征,404159
轻,403799
奖,403594
绿,402263
靠,402040
像,399850
扬,399709
卡,398072
编,397033
钱,395258
故,394734
绍,394173
岁,390315
鼓,388908
疗,388834
仍,387358
亩,387160
语,386852
索,386607
搞,385412
著,384203
固,383286
汉,381468
危,380587
午,380537
画,380364
舞,379992
敌,379194
坦,377234
温,375499
竞,375474
停,375010
季,374161
室,373822
黑,373687
逐,372415
久,370426
贵,369856
牌,367848
巨,366783
木,364949
星,363360
缺,361286
歌,360997
哈,360677
祖,360055
永,359958
探,359493
刚,358957
既,357810
急,357632
钢,356703
犯,355597
遇,355493
死,354430
短,353575
细,353494
顾,353062
俄,352883
攻,352868
湾,352042
守,351503
庭,348227
煤,347609
输,345328
罪,345155
绝,345068
招,344073
洋,343834
吃,343206
音,339873
孩,339170
括,339153
测,338736
诉,337485
予,336859
练,336818
找,336636
买,334463
某,334368
售,333892
移,333602
贡,333586
妇,332322
录,330426
植,329069
课,328862
托,328140
签,327081
违,324433
川,322808
绩,322161
宝,321795
另,321789
序,321619
秀,317432
状,316791
典,316735
斤,316651
免,315907
脱,314672
杨,313503
聚,312200
映,312024
汽,311796
差,311383
胡,311197
库,311194
鲁,311024
综,310896
订,310584
祝,309959
退,309782
络,307746
拿,307383
署,306663
幕,306457
扶,304799
筑,304697
涉,302977
船,302535
追,302473
摄,302236
吉,301544
瓦,300301
陆,299557
勇,298904
登,298836
岛,298749
票,298361
坏,297637
励,297242
雨,296631
换,296614
冲,294943
束,294718
握,294522
纷,292918
呼,292057
右,291976
虽,291617
怀,290653
喜,290314
谋,289544
奇,289441
伤,289173
述,289070
雄,288939
启,287210
津,286918
顺,286387
简,286101
店,285992
肥,284321
杂,283954
套,283282
旗,283258
怎,282178
吸,282175
轮,281915
旧,281448
错,281291
污,280649
吴,280266
菜,280099
塔,279746
吨,279283
否,279197
染,278240
遍,278194
街,277929
损,277857
繁,277573
角,275347
贷,274679
左,274243
蒙,274227
股,273112
曲,272755
岸,272721
迫,272713
私,271870
延,271060
庄,271000
假,268379
麦,267472
疫,266861
玉,266784
赞,266231
血,266134
雪,265758
授,264561
夜,264367
勒,264068
夏,262741
般,261574
挑,260942
拥,260568
桥,259777
卖,259242
伍,258814
甚,258677
享,258383
败,258324
堂,258249
键,257940
申,256971
寨,256815
冬,256521
盛,255941
松,255915
汇,255472
萨,255286
泛,254422
附,253793
澳,252793
遗,252477
端,251559
埃,251079
付,249158
峰,248429
洪,248067
误,247746
筹,247269
童,246972
耕,246158
齐,245707
岗,245700
纸,245622
雷,245591
零,245323
暴,245264
盖,245041
微,242450
累,241905
彩,240680
答,240511
露,240340
男,240039
棉,239621
掌,238935
扎,238738
哥,238655
泰,238609
迅,238164
架,238124
韩,237959
乱,237661
夺,236097
残,235887
乌,235832
戏,235830
板,235469
背,235046
封,234363
谊,233852
沿,233538
顿,233428
阵,233362
谢,233205
盾,232999
野,232918
倒,232654
艰,232415
亮,232400
载,232395
楼,231130
伯,231072
幅,230122
塞,229240
诺,228543
借,226906
振,226723
毒,226347
弹,224712
丽,224100
呢,223546
翻,222680
秘,222429
赵,221425
莫,221372
倍,221257
遭,220989
矛,220551
潮,220450
秋,220257
厅,219525
散,218603
脑,218074
恢,217819
归,216675
恩,216081
叫,216017
途,215971
伙,215490
析,215275
诚,215216
笔,214586
殖,213879
柬,213385
贺,212782
惠,211407
锦,211109
诗,210927
森,210069
射,209750
跃,209206
震,209192
牧,208491
礼,208163
洛,207572
毕,207241
媒,206536
坛,206417
孙,206326
敢,205947
疆,205852
览,205570
尊,205489
尚,205350
母,205083
休,204811
恶,204292
辉,204028
哪,203742
择,203675
患,200649
邦,200477
赶,200399
瑞,200210
跟,199942
牛,199168
块,199119
禁,199108
冰,198694
篇,198470
黎,198382
朗,198244
冠,197820
乎,197427
械,196974
朋,196958
宗,195791
跨,195785
味,195697
幸,195687
勤,195445
壮,194783
苗,194269
浪,193855
怕,193218
裁,193187
唱,193092
厚,192711
谁,192159
钟,191790
符,191770
叶,190556
仪,190315
牙,189974
饭,189937
币,189804
宾,189740
伴,189716
辆,188673
井,188167
抢,187271
灵,186919
刊,186622
朱,186013
邀,185851
虑,185589
似,184801
灭,184192
穿,184055
贴,183533
邓,182620
抵,182546
梦,182513
操,181585
跑,181325
径,180762
忠,180418
巩,179072
熟,179014
皮,178990
兼,178895
乘,178282
潜,177847
透,177825
伦,177654
异,177317
拓,177171
埔,177035
徐,177020
迹,176955
晓,176461
疑,176194
脚,176136
宜,175857
疾,175459
沟,174587
弟,174087
炼,174083
衡,173614
鱼,173507
释,172991
杀,172697
牢,172587
烟,172531
弱,172426
谓,172212
昌,171673
杜,171034
酒,170709
宽,170246
丹,170210
甘,169179
倡,167794
频,167443
洁,167054
敬,166881
丁,166779
谷,166222
赢,166036
亡,165593
浙,165179
腐,164875
肯,164839
挂,164606
冷,164517
储,164047
宪,163912
骨,163745
避,163592
债,163505
渐,163243
顶,162996
劲,162962
笑,162883
废,162563
肃,162417
词,162363
忘,161174
截,161021
若,160944
阴,160930
锋,160925
稻,160602
坐,160451
绕,160049
沉,160021
父,159742
宏,159321
尤,159153
缓,158099
姓,157933
衣,157215
唯,157030
揭,156963
硬,156472
含,156402
梁,156387
缩,156006
蒋,155751
距,155708
寻,155375
忙,154468
郑,153894
渠,153551
梅,152096
焦,152076
丝,151930
摆,151715
涛,151228
倾,151207
阻,151188
坡,150574
沈,148915
杰,148779
迪,148777
灯,148763
覆,148449
猪,148200
屋,147935
盘,147890
赫,147572
链,146335
贝,145635
茶,145585
痛,145549
荒,145410
誉,145367
炸,144887
枪,144840
旱,144283
竟,144207
隆,143781
珍,143583
悉,143517
趋,143180
折,143112
遵,142979
鉴,142855
撤,142032
句,141479
恐,141352
慧,141093
刑,140924
涨,140836
迈,140346
返,140221
闭,140050
粉,140038
辽,139456
掉,138851
吗,137842
侨,137613
汗,137280
泥,137267
纠,137086
伐,136710
租,136111
曼,135294
赴,135284
纲,135158
拔,135121
阅,135096
廉,134538
静,134270
床,134180
胞,133862
凡,133446
润,132850
乏,132842
唐,132405
循,131679
估,131276
畜,131183
虚,131130
徒,130816
罚,130655
巡,130391
暖,130328
邮,130311
偿,130222
姆,130162
炮,129916
谐,129638
卷,129325
肉,128779
爆,128714
炉,128622
挖,128549
毫,128446
孔,128205
纯,128140
辑,128097
殊,127751
辛,127416
挝,127206
捷,127027
叙,126898
宴,126625
雅,126522
递,126449
拍,126005
桑,125797
触,124892
诊,124778
泉,124742
貌,124457
弃,124246
渔,123979
墨,123934
阔,123807
袖,123600
毁,123569
袭,123211
郭,123164
凝,122839
陕,122800
偏,122730
宋,122707
龄,122593
餐,122587
烧,122578
勃,122284
胁,122264
佳,121957
履,121760
灌,121692
