token,count
的,54858628
在,11987465
和,11854415
了,11818481
是,8535713
有,3864318
为,3840042
中,3606999
中国,3562372
对,3538994
发展,3468119
也,3043578
上,3035457
等,3033225
我们,2825156
要,2718099
他,2706213
这,2704967
说,2570841
与,2568814
年,2554520
就,2463944
月,2409850
到,2398250
工作,2379882
人民,2344786
不,2329824
人,2300821
地,2269864
都,2161543
将,2074828
新,1990359
国家,1988322
我,1918803
以,1913581
一个,1880366
问题,1860238
从,1824794
把,1805989
他们,1721932
建设,1717015
经济,1679471
日,1651291
进行,1556398
还,1554682
并,1471421
着,1391368
一,1376668
而,1345437
大,1342213
企业,1335907
生产,1309200
又,1218396
多,1190434
后,1182021
美国,1177336
来,1171252
群众,1159882
向,1151637
下,1111983
时,1109748
我国,1095810
社会,1083828
更,1061050
记者,1059975
已,1057229
没有,1050631
个,1041819
使,1040509
被,1034674
自己,1023702
但,995959
重要,990494
这个,988626
全国,984392
文化,969343
社会主义,957549
好,948165
北京,947463
世界,945183
由,925717
国际,909161
组织,900373
会,896722
合作,893724
通过,891131
领导,876774
加强,873051
新华社,870727
革命,868935
政府,867058
们,846624
之,846489
同志,837694
用,829732
要求,828361
实现,825608
可以,820016
让,805515
能,804672
会议,804440
党,794404
方面,791164
今年,779893
地区,775450
这些,774161
教育,770936
提高,770604
服务,768767
给,761076
干部,758903
技术,750792
活动,750642
就是,750194
它,741755
一些,732644
生活,725453
各,721141
学习,715691
于,710094
表示,706546
同,701071
代表,700775
已经,700305
情况,695838
成为,692538
参加,686829
需要,676055
坚持,675546
改革,669114
所,667639
思想,667286
里,658747
提出,654522
主席,653529
历史,645892
日电,645676
政策,644840
建立,644297
目前,640837
解决,640476
得,639414
研究,637504
市场,637026
同时,636700
去,636197
农业,633914
这样,632100
举行,630422
农民,629777
最,626887
据,624489
很,623684
政治,621895
必须,620260
关系,619859
推动,619662
管理,611419
副,611103
现在,602475
主要,602305
农村,590603
制度,585876
作为,583714
认为,583526
不断,581375
支持,580012
进一步,576532
斗争,574219
这种,573751
创新,573562
精神,568845
有关,568116
她,566841
部门,563433
全面,559374
今天,555796
做,555272
开展,552293
为了,550938
过,550580
计划,548925
公司,548733
不能,547109
或,546836
