word	raw_rating	conc_aligned
暗笑	2.667	3.333
黯然	4.185	1.815
昂首	2.222	3.778
白人	1.630	4.370
绑架	1.778	4.222
榜样	2.778	3.222
迸发	3.808	2.192
裨益	4.125	1.875
波折	3.538	2.462
车费	1.407	4.593
充裕	3.154	2.846
打字	1.444	4.556
歹毒	3.074	2.926
待遇	2.704	3.296
抵抗	2.852	3.148
地方	2.500	3.500
垫脚	1.885	4.115
短缺	3.333	2.667
对抗	2.926	3.074
发亮	2.000	4.000
方言	1.926	4.074
防身	2.815	3.185
非法	2.926	3.074
风俗	2.926	3.074
隔离	2.963	3.037
耕作	2.037	3.963
公厕	1.222	4.778
公演	2.077	3.923
古物	2.148	3.852
挂号	1.852	4.148
怪物	2.926	3.074
光临	2.889	3.111
过渡	3.577	2.423
憾事	3.560	2.440
行情	3.192	2.808
痕迹	2.519	3.481
欢迎	2.556	3.444
回答	2.370	3.630
毁灭	3.111	2.889
肌肤	1.500	4.500
缉私	3.000	3.000
建制	3.792	2.208
鉴定	3.038	2.962
介入	3.077	2.923
晶莹	3.346	2.654
精品	2.815	3.185
竞技	2.444	3.556
可爱	3.000	3.000
哭泣	1.926	4.074
夸大	3.185	2.815
朗读	1.630	4.370
犁田	1.577	4.423
炼丹	2.462	3.538
笼统	4.423	1.577
螺丝	1.222	4.778
落后	3.423	2.577
面前	2.885	3.115
描绘	2.963	3.037
瞄准	2.148	3.852
灭口	2.407	3.593
民事	2.885	3.115
飘浮	3.407	2.593
苹果	1.259	4.741
潜艇	1.296	4.704
庆祝	2.808	3.192
求雨	3.000	3.000
取景	2.769	3.231
人证	1.885	4.115
桑拿	1.630	4.370
扇贝	1.185	4.815
摄影	2.000	4.000
身家	3.296	2.704
师资	2.963	3.037
施展	3.500	2.500
石油	1.333	4.667
弑父	2.704	3.296
受训	2.963	3.037
属性	4.259	1.741
署长	2.042	3.958
水池	1.222	4.778
水质	2.923	3.077
丝绸	1.370	4.630
私刑	2.519	3.481
太监	1.704	4.296
倘佯	4.333	1.667
讨好	3.296	2.704
特区	2.320	3.680
天资	3.778	2.222
铁门	1.296	4.704
听见	2.370	3.630
推测	3.500	2.500
外贸	2.370	3.630
偎依	2.889	3.111
围棋	1.296	4.704
未婚	1.885	4.115
文艺	3.407	2.593
握手	1.444	4.556
无尽	4.360	1.640
无人	2.500	3.500
溪水	1.222	4.778
鲜花	1.148	4.852
消沉	3.778	2.222
薪俸	2.360	3.640
羞耻	3.346	2.654
秀发	1.444	4.556
序列	2.962	3.038
学历	1.889	4.111
雪崩	1.778	4.222
雪糕	1.115	4.885
引燃	2.741	3.259
永久	3.731	2.269
越轨	3.095	2.905
越过	2.778	3.222
晕倒	1.778	4.222
杂物	2.222	3.778
宅院	1.370	4.630
招手	1.704	4.296
中弹	1.926	4.074
重复	2.815	3.185
竹签	1.370	4.630
主席	1.840	4.160
状元	1.852	4.148
祖先	2.308	3.692
鳟鱼	1.500	4.500
罢工	2.333	3.667
办法	3.259	2.741
帮会	2.444	3.556
包含	4.000	2.000
被窝	1.519	4.481
笨重	3.037	2.963
表露	3.760	2.240
拨冗	4.143	1.857
菠萝	1.185	4.815
残缺	3.407	2.593
纯朴	3.593	2.407
辍学	2.185	3.815
醋意	3.640	2.360
错误	2.852	3.148
搭乘	2.148	3.852
大权	3.296	2.704
胆识	3.926	2.074
地雷	1.741	4.259
叮嘱	2.815	3.185
盾牌	1.741	4.259
多余	3.462	2.538
发出	3.333	2.667
费用	2.259	3.741
拂晓	2.731	3.269
搞鬼	3.615	2.385
哽咽	2.667	3.333
公子	2.077	3.923
贵重	2.963	3.037
还是	4.318	1.682
航线	2.074	3.926
耗材	2.630	3.370
恒心	3.630	2.370
侯门	3.087	2.913
厚道	3.593	2.407
即兴	3.926	2.074
技能	2.963	3.037
歼灭	3.111	2.889
将来	3.692	2.308
拮据	3.111	2.889
锦旗	1.481	4.519
韭菜	1.115	4.885
绝交	3.115	2.885
克服	3.519	2.481
离谱	3.630	2.370
理发	1.630	4.370
辽阔	3.538	2.462
霉菌	2.222	3.778
美观	3.593	2.407
迷雾	2.741	3.259
免责	3.304	2.696
名贵	3.259	2.741
摩托	1.192	4.808
男士	1.370	4.630
泥鳅	1.185	4.815
奴才	2.370	3.630
糯米	1.222	4.778
派驻	3.185	2.815
泡菜	1.481	4.519
坡道	1.778	4.222
扑救	3.074	2.926
朴素	3.667	2.333
期货	2.960	3.040
气氛	4.037	1.963
气色	3.259	2.741
前任	2.360	3.640
前夕	3.185	2.815
切片	2.500	3.500
轻蔑	3.593	2.407
清除	2.962	3.038
确保	3.500	2.500
人品	3.704	2.296
仁爱	3.481	2.519
任教	2.885	3.115
容易	3.407	2.593
糅合	3.680	2.320
纱窗	1.259	4.741
山脉	1.519	4.481
设计	3.259	2.741
生物	2.704	3.296
受刑	2.778	3.222
赎身	2.889	3.111
水饺	1.296	4.704
顺产	1.963	4.037
岁月	3.963	2.037
探望	2.704	3.296
提供	3.333	2.667
剃刀	1.481	4.519
天桥	1.519	4.481
瞳孔	1.481	4.519
脱节	3.692	2.308
鸵鸟	1.259	4.741
伪造	3.185	2.815
尾灯	1.778	4.222
文凭	1.926	4.074
西部	3.038	2.962
牺牲	3.080	2.920
洗冤	3.500	2.500
细腻	3.926	2.074
细致	3.731	2.269
下层	3.346	2.654
险境	3.185	2.815
像样	3.960	2.040
小偷	1.704	4.296
心理	3.500	2.500
型号	2.654	3.346
修订	2.615	3.385
血压	2.037	3.963
阳光	1.704	4.296
因素	3.885	2.115
阴险	3.654	2.346
影展	1.958	4.042
鱼饵	1.704	4.296
远亲	2.481	3.519
越洋	3.000	3.000
在意	3.741	2.259
择偶	2.615	3.385
展露	3.269	2.731
珍重	3.593	2.407
