cue	response	strength
T恤	夏天	0.0277777777777778
T恤	外套	0.0277777777777778
T恤	大	0.0277777777777778
T恤	宅男	0.0277777777777778
T恤	时尚	0.0277777777777778
T恤	棉	0.0277777777777778
T恤	流血	0.0277777777777778
T恤	热	0.0277777777777778
T恤	白色	0.25
T恤	穿	0.0277777777777778
T恤	穿着	0.0277777777777778
T恤	舒适	0.0277777777777778
T恤	衣服	0.194444444444444
T恤	衬衫	0.194444444444444
T恤	裙子	0.0277777777777778
一	一个	0.0408163265306122
一	一个人	0.0204081632653061
一	一生	0.0204081632653061
一	个	0.0408163265306122
一	二	0.489795918367347
一	元	0.0204081632653061
一	单独	0.0204081632653061
一	唯一	0.0204081632653061
一	大地	0.0204081632653061
一	开始	0.0204081632653061
一	成绩	0.0204081632653061
一	数字	0.183673469387755
一	第一	0.0408163265306122
一	诅咒	0.0204081632653061
一	鸟	0.0204081632653061
一下	一次	0.0344827586206897
一下	刹那	0.0344827586206897
一下	动	0.0344827586206897
一下	哈	0.0344827586206897
一下	子	0.0344827586206897
一下	实验	0.0344827586206897
一下	干脆	0.0344827586206897
一下	想	0.0344827586206897
一下	打	0.172413793103448
一下	打球	0.0344827586206897
一下	拳头	0.0344827586206897
一下	敲	0.0344827586206897
一下	时间	0.0344827586206897
一下	烟花	0.0344827586206897
一下	看	0.0344827586206897
一下	瞬间	0.0344827586206897
一下	突然	0.0344827586206897
一下	等	0.103448275862069
一下	结束	0.0344827586206897
一下	轻松	0.0344827586206897
一下	迅速	0.0344827586206897
一下	闪电	0.0344827586206897
一下	马上	0.0344827586206897
一丝不苟	严肃	0.0303030303030303
一丝不苟	严谨	0.151515151515152
一丝不苟	人	0.0303030303030303
一丝不苟	刻板	0.0303030303030303
一丝不苟	小心翼翼	0.0303030303030303
一丝不苟	成语	0.0303030303030303
一丝不苟	挑剔	0.0303030303030303
一丝不苟	洁癖	0.0303030303030303
一丝不苟	爸爸	0.0303030303030303
一丝不苟	眼睛	0.0303030303030303
一丝不苟	眼镜	0.0303030303030303
一丝不苟	细心	0.0303030303030303
一丝不苟	细致	0.0303030303030303
一丝不苟	老师	0.0303030303030303
一丝不苟	膜	0.0303030303030303
一丝不苟	西装	0.0303030303030303
一丝不苟	认真	0.393939393939394
一个	一个人	0.02
一个	一些	0.02
一个	东西	0.02
一个	两个	0.26
一个	人	0.28
一个	单一	0.02
一个	单独	0.02
一个	好人	0.02
一个	数量	0.04
一个	桃子	0.02
一个	爱好	0.02
一个	独立	0.02
一个	猴	0.02
一个	碗	0.02
一个	苹果	0.16
一个	蛋糕	0.02
一个	面包	0.02
一个人	不是	0.0208333333333333
