abbr	full_en
abbr	abbreviation
abs	absolute
acro	acronym
act	action
act	active
act	actual
sum	addition
addr	address
algo	algorithm
alt	alternative
anno	annotation
app	application
acosec	arccosecant
acos	arccosine
actg	arccotangent
asec	arcsecant
asin	arcsine
atan	arctangent
arg	argument
arr	array
async	asynchronous
attr	attribute
auth	authentication
aux	auxiliary
avg	average
bg	background
bin	binary
bool	boolean
brk	break
buff	buffer
btn	button
calc	calculator
cb	callback
cert	certificate
char	character
chk	check
cls	class
clr	clear
coll	collection
col	column
cmd	command
comm	common
com	communication
comp	component
concat	concatenation
cond	condition
config	configuration
conn	connection
const	constant
cntr	container
ctx	context
cont	continue
ctrl	control
conv	conversation
coord	coordinate
cpy	copy
cosec	cosecant
cos	cosine
ctg	cotangent
cnt	count
curr	current
db	database
dbg	debug
dec	decimal
decl	declaration
def	default
def	definition
deg	degrees
del	deletion
dep	dependency
desc	description
dest	destination
dev	developer
dev	development
dim	dimension
dir	direction
dir	directory
dis	disable
disp	display
div	division
doc	document
docs	documentation
drv	driver
dyn	dynamic
elm	element
en	enable
env	environment
err	error
evt	event
exe	execution
exp	exponential
expr	expression
ext	extension
fct	facet
fac	factory
fig	figure
fc	file chooser
fd	file descriptor
fp	file processor
fr	file reader
fs	file system
fw	file writer
fmt	format
frac	fraction
freq	frequence
func	function
fp	function pointer
gen	generation
geom	geometry
hdr	header
hex	hexadecimal
id	identifier
img	image
impl	implementation
imp	import
inc	inclusion
idx	index
info	information
init	initialization
in	input
ins	insertion
inst	instance
int	integer
intf	interface
inv	inverse
km	keymap
kwd	keyword
lang	language
len	length
lvl	level
lib	library
lnk	link
ll	linked list
loc	location
mng	manager
max	maximum
mem	memory
msg	message
mcu	microcontroller
mid	middle
min	minimum
misc	miscellaneous
mod	modulo
mul	multiplication
nav	navigation
net	network
num	number
num	number of
obj	object
oct	octal
os	open source
oss	open source software
os	operating system
opt	option
org	organization
orig	origin
out	output
pkg	package
param	parameter
perf	performance
pic	picture
px	pixel
ptr	pointer
pol	poligon
pos	position
pred	predication
pred	prediction
pref	preference
prev	previous
priv	private
prod	production
prof	profiler
prop	property
pub	public
qry	query
rad	radians
rnd	random
rng	range
recv	receive
rec	record
ref	reference
rgx	regular expression
rel	relation
rem	remote
rmv	remove
repo	repository
req	request
res	response
res	result
ret	return
rev	revision
sc	script
sec	secant
sel	selection
sep	separator
seq	sequence
svc	service
sess	session
sin	sine
sol	solution
sol	solver
src	source
spec	specification
sqrt	square root
std	standard
stdio	standard input output
stmt	statement
stat	statistic
str	string
sub	subtration
sync	synchronization
td	table data
th	table header
tr	table row
tan	tangent
tgt	target
temp	temporary
txt	text
tmr	timer
ts	timestamp
tgl	toggle
tx	transaction
tpe	type
usr	user
util	utility
val	value
var	variable
vec	vector
ver	version
ver	vertical
win	window
wiz	wizard
